,,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.
,,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE
,,yen,yen,yen,yen,yen,yen,yen,yen,yen,yen
,,YOKOHAMA RUBBER,FUTURE,FUJIYA,KAJIMA,MITSUBISHI MATERIALS,WOWOW,DAIKIN INDUSTRIES,HONDA MOTOR,YAMATO,KEY COFFEE
,,T5101,T4722,T2211,T1812,T5711,T4839,T6367,T7267,T1967,T2594
,,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange
,,X01,X01,X01,X01,X01,X01,X01,X01,X01,X01
,,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock
,,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
MONTHLY(M),2001/01,438,,2240,556,2650,,2390,2230,254,1331
MONTHLY(M),2001/02,466,,2310,630,2740,,2175,2295,330,1315
MONTHLY(M),2001/03,470,,2270,682,2840,,2010,2560,338,1330
MONTHLY(M),2001/04,550,,2510,852,3300,3365,2105,2485,355,1340
MONTHLY(M),2001/05,540,,2300,660,3000,3095,2450,2500,349,1380
MONTHLY(M),2001/06,636,,2220,636,2670,3100,2310,2740,327,1450
MONTHLY(M),2001/07,618,,2190,682,2470,2525,2445,2840,330,1439
MONTHLY(M),2001/08,674,,2120,756,2250,2445,1912,2145,380,1440
MONTHLY(M),2001/09,638,,1980,870,1980,2000,1685,1935,371,1485
MONTHLY(M),2001/10,546,,2090,810,1840,1870,1770,2195,380,1531
MONTHLY(M),2001/11,640,,1990,780,1880,2165,2005,2335,578,1482
MONTHLY(M),2001/12,582,,1690,712,1790,1495,2055,2615,396,1517
MONTHLY(M),2002/01,486,,1530,680,2040,1510,2030,2660,389,1430
MONTHLY(M),2002/02,558,,1640,666,2080,1800,2250,2675,450,1550
MONTHLY(M),2002/03,592,,1730,636,2130,1600,2270,2690,444,1481
MONTHLY(M),2002/04,650,,1650,640,2530,1520,2330,2880,422,1496
MONTHLY(M),2002/05,658,,1750,764,2750,1300,2340,2650,423,1511
MONTHLY(M),2002/06,590,788.75,1680,680,2380,1315,2195,2430,435,1507
MONTHLY(M),2002/07,594,717.5,1610,712,2010,1395,2340,2490,388,1510
MONTHLY(M),2002/08,542,661.25,1480,672,1870,1350,2095,2510,421,1510
MONTHLY(M),2002/09,554,546.25,1430,740,1690,1140,2290,2465,402,1507
MONTHLY(M),2002/10,520,438.75,1250,708,1320,1135,1902,2195,399,1476
MONTHLY(M),2002/11,608,387.5,1190,616,1380,975,2010,2310,401,1496
MONTHLY(M),2002/12,612,312.5,1170,530,1300,990,1880,2195,403,1460
MONTHLY(M),2003/01,586,272.5,1170,496,1300,700,1695,1995,400,1470
MONTHLY(M),2003/02,630,337.5,1280,474,1320,550,1890,2160,402,1498
MONTHLY(M),2003/03,608,296.25,1290,438,1120,386,1949,1975,409,1477
MONTHLY(M),2003/04,560,365,1260,508,1060,413.5,1984,1975,378,1511
MONTHLY(M),2003/05,620,393.75,1340,530,1150,435,2030,2155,383,1515
MONTHLY(M),2003/06,640,351.25,1480,570,1540,433.5,2205,2275,412,1508
MONTHLY(M),2003/07,620,412.5,1510,642,1520,497.5,2195,2325,420,1522
MONTHLY(M),2003/08,634,302.5,1540,638,1740,520,2230,2375,415,1510
MONTHLY(M),2003/09,626,322.5,1620,756,1600,525,2235,2235,413,1513
MONTHLY(M),2003/10,610,360,1470,824,1770,800,2345,2170,387,1507
MONTHLY(M),2003/11,570,325,1360,698,1580,700,2260,2240,387,1480
MONTHLY(M),2003/12,604,307.5,1330,696,1650,610,2475,2380,391,1476
MONTHLY(M),2004/01,618,325,1400,752,1880,605,2435,2175,394,1470
MONTHLY(M),2004/02,654,301.25,1400,764,2130,500,2400,2380,393,1500
MONTHLY(M),2004/03,714,351.25,1680,894,2540,590,2620,2400,619,1494
MONTHLY(M),2004/04,784,345,1750,772,2180,1110,2585,2215,665,1481
MONTHLY(M),2004/05,794,345,1640,722,2120,960,2590,2400,660,1467
MONTHLY(M),2004/06,878,402.5,1900,810,2450,1240,2930,2630,613,1486
MONTHLY(M),2004/07,864,363.75,1810,752,2290,980,2745,2710,589,1486
MONTHLY(M),2004/08,880,292.5,2060,756,2320,995,2850,2720,525,1481
MONTHLY(M),2004/09,872,286.25,2620,720,2330,1080,2665,2670,518,1464
MONTHLY(M),2004/10,754,266.25,2290,800,2130,1230,2580,2560,465,1433
MONTHLY(M),2004/11,722,257.5,2410,892,2140,1145,2720,2465,448,1440
MONTHLY(M),2004/12,800,236.25,2390,882,2150,1195,2960,2655,678,1461
MONTHLY(M),2005/01,808,266.25,2640,914,2360,1340,2790,2715,651,1466
MONTHLY(M),2005/02,868,257.5,2690,862,2720,1535,2610,2805,607,1489
MONTHLY(M),2005/03,850,260,2770,886,2560,1835,2700,2685,531,1494
MONTHLY(M),2005/04,830,258.75,2460,798,2430,1765,2620,2545,489,1455
MONTHLY(M),2005/05,896,251.25,2330,744,2390,1590,2655,2670,499,1480
MONTHLY(M),2005/06,950,285,2420,820,2620,1575,2775,2735,549,1483
MONTHLY(M),2005/07,996,323.75,2630,814,2790,1900,2735,2890,513,1491
MONTHLY(M),2005/08,990,300,2570,886,3200,1955,2955,2960,479,1516
MONTHLY(M),2005/09,1092,277.5,2640,1080,4010,1815,3040,3210,494,1512
MONTHLY(M),2005/10,1198,282.5,3040,1202,3980,1255,3020,3170,485,1549
